中文,英文
初级生产力 第一性生产力,primary productivity
多年生型,perennial form
补偿作用,compensation
补充曲线 繁殖曲线,recruiting curve
雏菊世界模型,daisy world model
春化作用,vernalization
触觉通信,tactile communication
次生生长,secondary growth
补偿点,compensation point
纯合度,homozygosity
臭氧[空]洞,ozone hole
波纹小蠹诱剂,multilure
多次生殖,iteroparity
雌雄异体,dioecy
补偿[光照]强度,compensation intensity，compensation light intensity
对照点,control point
春季循环,spring circulation
补偿深度,compensation depth
多度-生物量曲线,abundance-biomass curve
潮汐,tide
超微型浮游动物,picozooplankton
粗死亡率,crude death rate
大陆隆,continental rise
晨昏迁徙,twilight migration
大陆岛,continental island
促进作用,facilitation
大陆坡,continental slope
沉水植物群落,submerged plant community
晨昏活动型,crepuscular type
存活曲线 生存曲线,survival curve
大[海]洋生态系统,large marine ecosystem
堡礁,barrier reef
矮灌木沼泽,dwarf shrub bog
超寄生物 重寄生物,hyperparasite
北美草原 普雷里群落,prairie
保护野生动物迁徙物种公约,Convention on the Conservation of Migratory Species of Wild Animals
贝利三次[标记]重捕法,Bailey's triple catch
特征动物,characteristic animal
暴发,outbreak
北极第三纪植物区系,Arcto-Tertiary flora
背板腺信息素,tergum gland pheromone
受动者,coactee
造山作用,orogenesis
蔓延度,contagion
旱生动物,xerocole
生态,eco-
生物景带,biochore
固定行为型,fixed action pattern
前寒武纪,"Precambrian,Precambrian  period"
原生演替,primary succession
选择性除草剂,selective herbicide
有害生物允许密度,tolerable pest density
群落复合体,community complex
寄主,host
有效温度,effective temperature
单倍型,haplotype
表型,phenotype
边缘生境,marginal habitat
表土,topsoil
冰川消退,deglaciation
变温性,poikilothermy
表火 低强度火灾,surface fire
宾主共栖,xenobiosis
单寄生,monoparasitism
表型匹配,phenotype matching
标记行为,marking behavior
变异系数,coefficient of variability
表皮蒸腾,epidermal transpiration
养分有效性,nutrient availability
遥感,remote sensing
生态系统稳定性,ecosystem stability
推力传播,bolochory
密度效应,density effect
吐水[现象],guttation
土壤酸度,soil acidity
矮树 高山矮曲树,pygmy tree
北方偏干性草原地带,campestrian
超级杂草,superweed
北方针叶林生物群系,northern coniferous forest biome
阿利效应,Allee's effect
超补偿,overcompensate
报偿不对称,payoff asymmetry
下层疏伐,low thinning
异域物种形成,allopatric speciation
自然农法,natural farming
原生演替系列 初级演替系列,primary sere
侵蚀基准面,base level of erosion
重水法,deuterium method
种圈,circle of species
吸附[作用],adsorption
趋性,taxis
生物残留群,liptocoenos
亲代操纵,parental manipulation
潜热,latent heat
强壮性,robustness
取食抑制剂,feeding suppressant
生物表面活性剂 生物界面活性剂,biological surfactant
亲代行为,parental behavior
生物碎屑 有机碎屑,organic detritus
遗存固有种,conservative endemism
生物整体性指数 生物完整性指数,index of biological integrity
生物压力 生物扩张力,biotic pressure
生物区,biotic region
生物因子,biotic factor
生物滤池,biological filter
异域分布,allopatry
生物演替,biotic succession
损耗环,consumptive loop
生物调节,biological conditioning
碎屑食物链 腐食食物链,detritus food chain
异域种,allopatric species
生物系统效率,efficiency of biological system
生物钟,biological clock
生物相,biofacies
生物相图,biofacies map
生物浓缩,biological concentration
遗迹化石,ichnofossil
异生物质 外来化合物,xenobiotics
生物脱氮,biological removal of nitrogen
生物遗传资源的衍生所有权,derived property right of biogenetic resources
生理隔离,physiological isolation
异养生物,heterotroph
生物社会学,coenobiology
生殖量,reproductive output
食果性,frugivorous
生理节律,physiological rhythm
食腐性,saprophagy
生殖率 繁殖率,reproduction rate
生源说,biogenesis
生殖行为,reproductive behavior
食肉动物,carnivore
湿度表,hygrometer
生理零点,physiological zero
生长型,growth form
食蜜性,melliphagy
生长曲线,growth curve
湿地生态学,wetland ecology
食尸性,necrophagy
食禾草性,graminivorous
生长期,growth period
湿草甸,moist meadow
湿生植物,hygrophyte
石化作用,petrification
嗜腐生物,saprophile
土壤生产力,soil productivity
土壤[地]带,soil zone
生态演替,ecological succession
嗜硅植物,silicicolous plant
土壤改良剂,soil amendment
脱硫作用,desulfidation
生态阈值,ecological threshold
土壤发生,pedogenesis
外来侵入种,alien invasive species
嗜盐细菌,haloarchaea
嗜寒性,psychrophile
生态种,ecospecies
嗜冷细菌,psychrophilic bacteria
土壤地带性,soil zonality
小群落,microcommunity
土壤顶极,pedoclimax
数值反应,numerical response
小卫星,minisatellite
水分短缺,water shortage
狩猎管理 狩猎经营,game management
异源多倍体,allopolyploid
树冠,crown
异源植物区系,allogenous flora
遗传生态学 基因生态学,genetic ecology
遗传湮没,genetic swamping
衰减效应,depletion effect
遗传稳态,genetic homoeostasis
树冠火,crown fire
遗传距离系数,coefficient of genetic distance
水表上漂浮生物,epineuston
数学模型,mathematical model
益生菌,probiotics
水分利用效率,water use efficiency
双性群,bisexual group
数量锥体 数量金字塔,pyramid of number
树冠厚度,crown depth
银勺效应 幼期优育效应,silver spoon effect
生殖隔离,reproductive isolation
顺从姿态,submissive posture
似然竞争 表观竞争,apparent competition
细腐殖质,mull
夏卵,summer egg
基[础]态,ground state
抗旱性,drought resistance
郭霍法则,Koch's postulate
抗寒性,cold resistance
开放[式]循环系统,open circulation system　
基本种,elementary species
霍普金斯分布集中度系数,Hopkins' coefficient of aggregation
可持续农业 永续农业,sustainable agriculture
连通性食物网,connectedness food web
抗热性,heat resistance
基本温度,cardinal temperature
立体绿化,vertical planting
立地价值,site value
基[植被]带,basal zone
利己素,allomone
基位种,basal species
抗药性,insecticide resistance
腐殖质灰黏土,humic gley soil
极限相似性,limiting similarity
腐生链,saprophytic chain
复变态,hypermetamorphosis
量子进化,quantum evolution
附生藻,epiphytic algae
附表底栖生物,epibenthic organism
富营养化,eutrophication
集群林,communal forest
两性冲突,sexual conflict
极限体重,asympototic weight
复合环,complex loop
连续培养,continuous culture
量子式物种形成,quantum speciation
腐殖质形成,development of humus
集群,assembly
负相互作用,negative interaction
极限环,limit cycle
极地带,polar zone
概念模型,conceptual model
腐殖质分解者,humivore
高山植物群落,acrophytia
夹捕器,snap-trap
高山植物,acrophyta
放射虫软泥,radiolarian ooze
寄主适合性,host suitability
个体密度,individual density
隔离学说,isolation theory
非密度制约控制,density-independent control
放射性示踪物,radioactive tracer
个体辨认法,individual identification method
寄主选择性,host selection
干性草甸,dry meadow
能流食物网,energy flow food web
放射性尘埃,radioactive dust
隔离机制,isolating mechanism
放牧休闲 生草休闲,summer fallow
寄主专一性,host specificity
干扰斑块,disturbance patch
高斯法则,Gause's rule
寄生链,parasite chain
β丰富度,beta richness
警戒信息素 告警信息素,alarm pheromone
分带,zoning
非造礁珊瑚,ahermatypic coral
分布参数系统,distributed parameter system
分层现象,stratification
拟人主义,anthropomorphism
交配型,mating type
警戒作用,aposematism
分布函数,distribution function
景观镶嵌体,landscape mosaic
分层随机抽样,stratified random sampling
拟寄生物,parasitoid
