中文,英文
肥料最大效率期,maximum efficiency stage of fertilization
吸附学说,theory of adsorption
选择吸收,selective absorption
根系截获,root interception
能斯特方程,Nernst equation
离子拮抗作用,ion antagonism
竞争性抑制,competitive inhibition
离子载体,ionophor
非竞争性抑制,noncompetitive inhibition
胞饮作用,pinocytosis
有益元素,beneficial element
大量元素,macroelement
养分电势梯度,nutrient electropotential gradient
养分胁迫,nutrient stress
有效性养分,available nutrient
无效养分,non-available nutrient
土壤养分形态,form of soil nutrient
养分淋失,leaching loss of nutrient
示踪测定,isotopic tracer
酰胺态氮,amide nitrogen
矿化速率,mineralization rate
生理碱性肥料,physiological alkaline fertilizer
商品肥料,commercial fertilizer
酰胺态氮肥,amide nitrogen fertilizer
单质肥料,straight fertilizer
氰氨态氮肥,cyanamide nitrogen fertilizer
氮肥,nitrogenous fertilizer
堆肥,compost
腐殖酸类肥料,humic fertilizer
重叠缺乏,overlapping deficiency
组织速测诊断法,diagnosis method of tissue rapid measurement
临界值诊断法,diagnosis method by critical value
施肥诊断法,diagnosis method of fertilization
养分临界值,critical value of nutrient
边际产值,marginal value
边际成本,marginal cost
营养临界期,critical period of nutrition
钾平衡,potassium balance
速效肥料,readily available fertilizer
单因子试验,unifactor experiment
分期施肥,top-dressing at different stages
缓释氮肥,slow-release nitrogen fertilizer
有机肥料,organic fertilizer
难溶性磷肥,difficultly soluble phosphatic fertilizer
化成复合肥料,compound fertilizer
微生物肥料,microbial manure
根系分泌物,root exudate
最低因子律,law of the minimum
米采利希定律,Mitscherlich's law
植物营养遗传学,genetics of plant nutrition
氮代谢,nitrogen metabolism
强度因素,intensity factor
缓冲因素,buffer factor
可溶性养分,soluble nutrient
随机区组试验,randomized block experiment
肥料养分,fertilizer nutrient
碱性肥料,alkaline fertilizer
肥料分析式,fertilizer analytic formula
悬浮肥料,suspension fertilizer
湿法磷肥,wet-process phosphatic fertilizer
速率因素,velocity factor
养分固定,nutrient fixation
撒施,broadcasting
全氮,total nitrogen
交换吸收,exchange absorption
根系阳离子交换量,cation exchange capacity of root
养分交互作用,nutrient interaction
质外体运输,apoplast transport
植物激素,phytohormone
生长抑制剂,growth inhibitor
短距离运输,short distance transport
养分富集,nutrient enrichment
养分生物有效性,nutrient bioavailability
养分转移,nutrient translocation
表面迁移,surface migration
氨毒,ammonia toxicity
土壤养分,soil nutrient
动力因素,kinetic factor
缓效性养分,slowly available nutrient
非交换性养分,non-exchangeable nutrient
酸溶性养分,acid soluble nutrient
水解氮,hydrolyzable nitrogen
养分循环,nutrient cycle
养分平衡,nutrient balance
养分转化,nutrient transformation
A值,A value
养分释放,nutrient releasing
旋转设计,rotation design
放射自显影术,autoradiography
试验误差,experimental error
示踪核素,tracer nuclides
幼苗试验,seedling test
无菌培养,sterile culture
盆栽试验,pot experiment
带状施肥,band application
土培,soil culture
田间试验,field experiment
完全培养液,complete culture solution
硝态氮,nitrate nitrogen
迟效肥料,delayed available fertilizer
肥料,fertilizer
三要素比例,three essential fertilizer ratio
肥料品位,fertilizer grade
酸性肥料,acidic fertilizer
肥料填料,fertilizer filler
气体肥料,gaseous fertilizer
肥料溶解度,fertilizer solubility
螯合肥料,chelate fertilizer
热法磷肥,thermal-process phosphatic fertilizer
复合肥料,compound or mixed fertilizer
钙肥,lime fertilizer
镁肥,magnesium fertilizer
配成复合肥料,processing compound fertilizer
硫肥,sulfur fertilizer
诊断施肥综合法,diagnosis and recommendation integrated system
叶色诊断法,diagnosis method of foliar color
酶学诊断法,enzymology diagnosis method
营养诊断,nutrient diagnosis
诊断指标,diagnosis index
营养失调,nutritional disorder
耕垦症,reclamation symptom
养分平衡施肥,balanced nutrients fertilization
基肥,basal fertilizer
饱和施肥,saturated fertilization
深层施肥,deep placement
维持施肥,maintenance fertilization
全层施肥,whole layer fertilization
砂培,sand culture
植物矿质营养基因型,mineral nutrition genotype of plant
氮平衡,nitrogen balance
氮矿化,nitrogen mineralization
氮转化,nitrogen transformation
缓释肥料,slow-release fertilizer
包膜肥料,coated fertilizer
叶面肥料,foliar fertilizer
肥料调理剂,fertilizer conditioner
颗粒肥料,granular fertilizer
硝态氮肥,nitrate nitrogen fertilizer
磷肥,phosphatic fertilizer
绿肥,green manure
沤肥,waterlogged compost
豆科绿肥,leguminous green manure
非豆科绿肥,non-leguminous green manure
秸秆肥,straw manure
