中文,英文
统计方法,statistical method
统计关联,statistical dependence
透光层云,"stratus translucidus, St tr"
图形识别,pattern recognition
土壤不透水层,watertight stratum
土壤干旱,soil drought
土壤含水量,soil water content
土壤流失 土蚀,soil erosion
土壤气候学,soil climatology
土壤湿度,soil moisture
土壤水分毛细上升,capillary rise of soil moisture
土壤水分平衡,soil water balance
土壤水势,soil water potential
土壤温度表,soil thermometer
土壤相对湿度,relative soil moisture
土壤蒸发表，土壤蒸发器,soil evaporimeter
网状层积云,"stratocumulus lacunosus, Sc la"
网状高积云,"altocumulus lacunosus, Ac la"
网状卷积云,"cirrocumulus lacunosus, Cc la"
危险半圆,dangerous semicircle
危险天气通报,hazardous weather message
微变数表,variometer
微变数计,variograph
微波辐射仪,microwave radiometer
微波雷达,microwave radar
纬向环流指数,zonal circulation index
纬向平均,zonal mean
位温坐标,θ-coordinate
位涡方程,potential vorticity equation
位涡守恒,conservation of potential vorticity
涡流累积[法],eddy accumulation
污染物输送,pollutant transport
污染物指数,pollutant index
无定向海流,baffin current
无定形霜,amorphous frost
无风逆温污染,calm inversion pollution
无辐散层,non-divergence level
无量纲变数,dimensionless variable
无量纲参数,non-dimensional parameter
误差,error
吸湿核,hygroscopic nuclei
系留探空,wiresonde
系统误差,systematic error
细胞对流,cellular convection
下投探空仪,dropsonde
现代气候,present climate
现在天气,present weather
相干结构,coherent structures
相干雷达,coherent radar
相干目标,coherent target
相互作用,interaction
相似法,analogue method
相似理论,similarity theory
向上地球辐射,upward terrestrial radiation
向上全辐射,upward total radiation
向上热[量]输送,upward heat transport
小气候,microclimate
小气候测量,microclimatic measurement
小气候观测,microclimatic observation
小扰动,small perturbation
小扰动法,perturbation method
谐量,harmonics
泄水区,discharge area
新仙女木事件,Younger Dryas event
信标,beacon
信风,trade-wind
信风赤道槽,trade-wind equatorial trough
信风锋,trade-wind front
信风环流,trade-wind circulation
信风逆温,trade-wind inversion
信风区,zone of trade wind
信号,signal
虚高,virtual height
雪幡,snow virga
雪林气候,snow forest climate
雪原气候,snow climate
雪灾,snow damage
血雪,blood snow
雅可比行列式,Jacobian ［determinant］
烟迹,smoke trail
烟流,plume
烟霾,smoke haze
声[雷]达,sodar
烟雾层顶 烟雾高度,smog horizon
烟雾气溶胶,smog aerosol
烟雾指数,smog index
烟羽,smoke plume
烟羽高度,plume height
严寒,severe cold
严酷气候,stern climate
严霜,severe frost
岩石圈,lithosphere
沿谷风,along-valley wind
遥感测量,remote sensing
遥相关,teleconnection
迎风差分,upwind difference
涌升流,upwelling current
有限区域预报模式,limited-area forecast model
雨林气候,rainforest climate
远日点,aphelion
远闪,distant flash
月平均等值线(主要指气温而言),isomenal
云［间］地放电,cloud-to-ground discharge
云街,cloud street
云结构,cloud structure
云类,cloud variety
云粒成像仪,cloud particle imager
云量计,nephelometer
云幂仪,ceilograph
在线,on line
振荡级数,oscillation series
振荡体,oscillating body
蒸散表,evapotranspirometer
整体水参数化,bulkwater parameterization
正变压线,anallobar
正常，常态，标准,normal
正常值，标准值,normal value
正常状态,normal state
正地闪,positive ground flash
正压大气,barotropic atmosphere
正压扰动,barotropic disturbance
正压性,barotropy
正压预报,barotropic forecast
正压转矩向量,barotropic torque vector
气候环境,climatic environment
气候回馈机制,climatic feedback mechanism
气候回馈作用,climatic feedback interaction
气候极值,climatic extreme
气候极值检验,climatological limit check
气候监测,climatic monitoring
气候控制［因子］,climatic control
气候疗法,climatic treatment
气候平均值,climatological normal
气候舒适［度］,climate comfort
气候数值模拟,climatic numerical modelling
气候条件,climatic condition
气候影响评估,climate impact assessments
气候预报,climatic forecast
气候志,climatography
气候治疗［学］,climatotherapy
气候重建,climate reconstruction
气体温度表,gas thermometer
气体污染,gaseous pollution
气团[性]降水,air-mass precipitation
气团源地,air-mass source
气团属性,air-mass property
气温直减率,temperature lapse rate
气象台,meteorological observatory
气象卫星,meteorological satellite
气象卫星地面站,meteorological satellite ground station
气象[学],meteorology
切线性模式,tangent linear model
切向加速度,tangential acceleration
区域模式,regional model
区域平均雨量,area mean rainfall
全球气候系统,global climate system
全球水平探测技术,"global horizontal sounding technique, GHOST"
全球通信系统,"global telecommunication system, GTS"
权重函数,weight function
权重因子,weighting factor
热成风,thermal wind
热成风方程,thermal wind equation
热成风引导,thermal wind steering
热带,Torrid Zone
热带气象学,tropical meteorology
热雷雨,thermal thunderstorm rain
热力层结,thermal stratification
热力粗糙度,thermal roughness
热力函数,thermodynamical function
热力罗斯贝数,thermal Rossby number
热力学,thermodynamics
日常业务,routine
日地关系,solar-terrestrial relationships
日地物理学,solar-terrestrial physics
瑞利摩擦,Rayleigh friction
瑞利数,Rayleigh number
赛德尔迭代法,Seidel iteration method
干雾,dry fog
桑思韦特湿度指数,thornthwaite moisture index
扫描辐射仪,"scanning radiometer, SR"
扫描线,scan line
闪电通道,lightning channel
声学探测,acoustic sounding
盛行风,prevailing wind
剩余大气,residual atmosphere
湿度廓线,moisture profile
湿润度,moisture index
适应性策略,adaptation strategies
衰减,attenuation
衰减常数,attenuation constant
衰减截面,attenuation cross section
衰减系数,attenuation coefficient
双波长多普勒雷达,dual wavelength Doppler radar
双波长雷达,dual wavelength radar
双阶谱分析,bispectrum analysis
双雨季［的］,birainy
双站激光雷达,bistatic lidar
霜点,frost point
[水内]声速计,acoustic velocimeter
水平对流卷涡,horizontal convective rolls
速度势,velocity potential
速率系数,rate coefficient
台风蛇行,typhoon meandering
台风眼,typhoon eye
台风引导气流,typhoon steering flow
台风再生,typhoon regeneration
台风转向,typhoon recurvature
抬升凝结高度,"lifting condensation level, LCL"
太阳风,solar wind
太阳高度,solar altitude
太阳光度计,heliograph
太阳光谱,solar spectrum
太阳黑子极大,sunspot maximum
太阳信号,solar signal
太阳耀斑活动,solar flare activity
太阳耀斑扰动,solar flare disturbance
太阳质子监测仪,solar proton monitor
特征尺度,characteristic scale
天气展望,weather outlook
天气侦察［飞行］,weather reconnaissance ［flight］
调槽气压表,adjustable cistern barometer
调和函数,harmonic function
停留时间,residence time
通道急流,channel jet
像素，像元,pixel
尾流低压,wake depression
尾流区,wake stream region
纬向环流,zonal circulation
涡列,vortex trail
