中文,英文
商品林,forest for commercial benefit
森林水文学,forest hydrology
林木,forest tree
落叶树,deciduous tree
林业政策,forestry policy
林业,forestry
林产化学加工,chemical processing of forest product
常绿阔叶林,evergreen broad-leaved forest
人工林,forest plantation
原始林,virgin forest
森林保护学,forest protection
树种,tree species
风景林,amenity forest
林木育种学,forest tree breeding
森林覆盖率,forest coverage
森林气象学,forest meteorology
树[木],tree
森林土壤学,forest soil science
木材,wood
森林地理学,forest geography
树木学,dendrology
天然林,natural forest
城市林业,urban forestry
树木生理学,tree physiology
森林生态学,forest ecology
森林利用,forest utilization
森林工程学,forest engineering
森林测计学,forest mensuration
林种,forest category
生态公益林,forest for public benefit
森林经理,forest management
木材学,wood science
阔叶林,broad-leaved forest
森林,forest
林产化学加工学,chemical processing of forest product
竹林,bamboo forest
森林生物学,forest biology
森林植物学,forest botany
森林培育,silviculture
落叶阔叶林,deciduous broad-leaved forest
森林病理学,forest pathology
森林效益,forest effect
木材加工学,wood processing
针叶林,coniferous forest
次生林,secondary forest
森林气候学,forest climatology
水土保持学,soil and water conservation
森林功能,forest function
乡村林业,rural forestry
森林资源管理,management of forest resources
阔叶树,broad-leaved tree
森林遗传学,forest genetics
经济林,non-timber product forest
森林资源,forest resources
针叶树,coniferous tree
热带雨林,tropical rain forest
林学,forest science
风景园林学,landscape architecture
森林经理学,forest management
特种用途林,forest for special use
红树林,mangrove forest
用材林,timber forest
森林培育学,silviculture
森林昆虫学,forest entomology
常绿树,evergreen tree
森林保护,forest protection
森林经营,forest management
防护林,protection forest
森林利用学,forest utilization
速生丰产林,fast-growing and highyield plantation
薪炭林,firewood forest
林业经济,forestry economy
能源林,energy forest
林业史,forestry history
林业经济学,forestry economics
石膏刨花板,gypsum bonded particleboard
开槽机,groover
淋涂机,curtain coater
木片水洗,chip washing
透明涂饰,clear painting
整边机,jointer
细木工板,blockboard
韧皮纤维,phloem fiber
竹材人造板,bamboo-based panel
后角,clearance angle
成熟材,mature wood
木材劣化,wood deterioration
干燥基准,drying schedule
扭曲,twisting
榫眼加工,mortising
径切板,quarter-sawn lumber
端向切削,end grain cutting
制材,lumbering
干裂,check
切削方向,cutting direction
变形,distortion
木工刀具,wood cutter
液压压紧轴套,hydroclamping sleeve
转位刀具,turn blade cutter
弓弯,bowing
木材腐朽,wood decay
硬质合金刀具,tungsten carbide tool
时间干燥基准,time drying schedule
木材天然耐久性,natural durability of wood
木材含水率电测法,method of electrical moisture content meter
分层含水率,layer moisture content
环裂,ring shake
切削厚度,cutting depth
榫头加工,tenoning
刃口变钝,edge bluntness
瓦形弯,cupping
应力检验板,stress sample board
机械分选,mechanical screening
剖分,resawing
热压时间,hot pressing time
真空干燥,vacuum drying
定向刨花板,oriented strand board
断面密度曲线,density distribution curve in thickness direction
砖混凝土体干燥室,brick and concrete kiln
常规干燥,conventional drying
高频干燥,high-frequency drying
平压刨花板,flat-platen pressed particleboard
单板胶拼,veneer jointing
毛板下锯法,through-and-through sawing
轻质刨花板,low-density particleboard
摇尺,set work
锯剖,sawing
干燥过程,drying process
下锯计划,sawing scheme
静曲强度,modulus of rupture
红外线干燥,infrared drying
无垫板热压,hot pressing with caul-less system
太阳能干燥,solar drying
锯材偏差,deviation
表面耐划痕性,resistance to scratching
直接印刷人造板,direct printing faced wood based panel
木片软化,chip softening
单板修理,veneer repairing
旋切超前裂缝,peeling torn
施胶量,glue spread
砂透,sanding through
浮雕加工,embossing
开放陈化时间,open assembly time
低密度纤维板,low-density fiberboard
光泽不均,gloss unevenness
基材,baseboard
闭合陈化时间,closed assembly time
冷–热–冷工艺,cold-hot-cold cycle technique
挖补,patching
贮存期,shelf life
结构用胶合板,structural plywood
胶合板透胶,glue penetration
木芯,core
胶合强度,adhesive bond strength
纤维板,fiberboard
细木工,joinery work
竹地板,bamboo flooring
净料,dressed timber
有机溶剂涂料,solvent coating
镶嵌,inlaying
三聚氰胺树脂装饰层积板,decorative melamine laminate
竹材霉变,mildew
去皮藤芯,peeled cane
沟槽人造板,grooved wood-based panel
组合家具,combination furniture
薄板胶合弯曲,laminated wood bending
竹单板,bamboo veneer
框式家具,frame-type furniture
竹集成材,bamboo laminated lumber
木工钻床,drilling machine
刨花打磨机,chip grinder
齐边,finish machining
接锯机,brazer
搭口拼,rabbet joint
揩涂,tamponing
鼓式削片机,drum flaker
成型铣削,shaping
竹材展平机,bamboo spreading ma-chine
企口拼,tongue and groove joint
仿型车削,rotary copying turning
软成型封边,soft-forming
铺装机,felting machine
平面刨削,planning
木工铣床,milling machine
截端,end cutting
仿形车床,copying lathe
仿形靠模木工车床,wood profiling lathe
多功能木工机床,universal wood working machine
成型铣床,molder
涂胶机,glue spreader
长网成型机,fourdrinier machine
预压机,prepress
锯机,sawing machine
成型机,forming machine
宽带砂光机,wide-belt sander
单板干燥机,veneer dryer
热压机,hot press
半环孔材,semi-ring porous wood
早材,early wood
心材,heartwood
树胶道,gum duct
微纤丝角,microfibrillar angle
边材,sapwood
木材构造,structure of wood
吸着水,bound water
木材保护,wood protection
调温调湿,conditioning
蘸浸处理,dip treatment
木材熏蒸处理,fumigation of wood
木材蠕变,creep of wood
防腐槽,vat
处理罐,treating cylinder
防霉剂,antimold chemical
拒受点,refusal point
木材吸湿滞后,adsorption hysteresis of wood
木材热膨胀系数,thermal expansion coefficient of wood
含水率干燥基准,moisture content drying schedule
无节材,clear cutting board
开片,sawing open
竹席,bamboo woven mat
规格材,dimension lumber
散生藤,solitary
管孔,pore
切削工件,cutting workpiece
木材吸湿性,hygroscopicity of wood
单层结构刨花板,single-layer particleboard
木材硬度,hardness of wood
藤皮,rattan peel
进给速度,feed velocity
空细胞法,empty-cell process
竹片胶合板,strip plybamboo
木线条,wooden moulding
面漆,top coat
木株机,automatic wooden beat ma-chine
平刨机,planer
四面刨机,leveling
筛选机,screen
细木工带锯机,band scroll saw
浸涂,dipping
集成材制造机械,laminated wood machinery
背刀木工车床,wood multi-cut lathe
横截,cross sawing
喷涂,spraying
车削,turning
压刨机,thicknesser
刨片机,flaker
滚筒剥皮机,drum debarker
凿孔机,mortiser
车铣复合机床,shaping lathe
指形拼,finger joint
木工车床,lathe
指榫机,finger jointer
削片–锯解联合机,chipping headrig
修色,color matching
榫[槽]接合,mortise and tenon joint
五金件接合,hardware joint
淋涂,curtaining
原木金属探测仪,log metal detector
圆锯机,circular saw
摆锯机,swing saw
装卸机,loader and unloader
卷筒机,reeling machine
网带干燥机,wire belt dryer
砂光机,sanding machine
油类防腐剂,oil-type preservative
含水率检验板,moisture content sample board
切削变形,chip deformation
切削,cutting
表面硬化,case-hardening
木材干燥缺陷,drying defect of wood
侧弯,crook
木材耐火性,fire resistance of wood
砂削,sanding
纵向切削,longitudinal cutting
白腐,white rot
表裂,surface check
木材加工,wood processing
前角,rake angle
汽蒸处理,steaming
热湿处理,conditioning treatment
菱形变形,diamonding
板条,strip
中心硬化,reverse case-hardening
木材变色,wood stain
连续平压,continuous level pressing
优化下锯法,best opening face sawing
补片,patch
室干材,kiln-dried timber
水泥木丝板,wood wool cement board
高频加热,high-frequency heating
划线下锯法,pattern line sawing
三层结构刨花板,three-layer particleboard
连续辊压,continuous roll pressing
径向下锯法,center sawing
三面下锯法,three-faced sawing
挤压刨花板,extruded particleboard
定向铺装,oriented forming
板后期处理,finishing treatment
长轴型干燥室,line-shaft kiln
船舶胶合板,marine plywood
刨花制备,particle preparation
裁边,edging
原木剥皮,log debarking
非木材刨花板,non-wood particleboard
刨花形态,particle geometry
胶合板,plywood
木段热处理,heating the block
单板干燥,veneer drying
渐变结构刨花板,graduated particleboard
高密度纤维板,high-density fiberboard
组坯,lay-up
单板柔化,veneer tenderizing
压辊,back-up roller
切削沟痕,torn grain
